"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"4,1      (C11.0) Malignant neoplasm of superior
67       wall of nasopharynx","1","0","1","0.0011363636363636","0"
"4,1      (G72.9) Myopathy, unspecified 68","1","0","1","0.0011363636363636","0"
"4,1      (K75.0) Abscess of liver 69","1","0","1","0.0011363636363636","0"
"4,1      (F52.6) Nonorganic dyspareunia 70","0","1","1","0.0011363636363636","0"
"4,1      (I88.0) Nonspecific mesenteric
71       lymphadenitis","0","1","1","0.0011363636363636","0"
"4,1      (E75.5) Other lipid storage disorders 72","0","1","1","0.0011363636363636","0"
"4,1      (F13.8) Mental and behavioural
73       disorders due to use of sedatives or","1","0","1","0.0011363636363636","0"
"4,1      (K72.9) Hepatic failure, unspecified 74","1","0","1","0.0011363636363636","0"
"4,1      (D83.9) Common variable
75       immunodeficiency, unspecified","0","1","1","0.0011363636363636","0"
"4,1      (F80.1) Expressive language disorder 76","0","1","1","0.0011363636363636","0"
"4,1      (D15.2) Benign neoplasm of
77       mediastinum","1","0","1","0.0011363636363636","0"
"4,1      (C83.6) Undifferentiated (diffuse) non-
78       Hodgkin`s lymphoma","1","0","1","0.0011363636363636","0"
"4,1      (A49.2) Haemophilus influenzae
79       infection, unspecified","1","0","1","0.0011363636363636","0"
"4,1      (C30.1) Malignant neoplasm of middle
80       ear","0","1","1","0.0011363636363636","0"
"4,1      (H06.3) Other disorders of orbit in
81       diseases classified elsewhere","0","1","1","0.0011363636363636","0"
"4,1      (D48.2) Neoplasm of uncertain or
82       unknown behavior of peripheral nerves","1","0","1","0.0011363636363636","0"
"4,1      (E23.2) Diabetes insipidus 83","0","1","1","0.0011363636363636","0"
"4,1      (D64.0) Hereditary sideroblastic
84       anaemia","0","1","1","0.0011363636363636","0"
"4,1      (C44.3) Malignant neoplasm of skin of
85       other and unspecified parts of face","0","1","1","0.0011363636363636","0"
"4,1      (F98.2) Feeding disorder of infancy and
86       childhood","1","0","1","0.0011363636363636","0"
"4,1      (D12.5) Benign neoplasm of sigmoid
87       colon","1","0","1","0.0011363636363636","0"
"4,1      (D10.5) Benign neoplasm of other parts
88       of oropharynx","0","1","1","0.0011363636363636","0"
"4,1      (C01) Malignant neoplasm of base of
89       tongue","0","1","1","0.0011363636363636","0"
"4,1      (D31.0) Benign neoplasm of conjunctiva 90","0","1","1","0.0011363636363636","0"
"4,1      (B01.2) Varicella pneumonia 91","1","0","1","0.0011363636363636","0"
"4,1      (T33.1) Superficial frostbite of neck 92","1","0","1","0.0011363636363636","0"
"4,1      (T23.5) Corrosion of first degree of wrist
93       and hand","0","1","1","0.0011363636363636","0"
"4,1      (Q67.7) Pectus carinatum 94","1","0","1","0.0011363636363636","0"
"4,1      (S02.3) Fracture of orbital floor 95","1","0","1","0.0011363636363636","0"
"4,1      (N84.8) Polyp of other parts of female
96       genital tract","0","1","1","0.0011363636363636","0"
"4,1      (O33.2) Maternal care for disproportion
97       due to inlet contraction of pelvis","0","1","1","0.0011363636363636","0"
"4,1      (O42.1) Premature rupture of
98       membranes, onset of labour after 24","0","1","1","0.0011363636363636","0"
"4,1      (O08.8) Other complications following
99       abortion and ectopic and molar","0","1","1","0.0011363636363636","0"
"4,2      (S21.0) Open wound of breast 00","0","1","1","0.0011363636363636","0"
"4,2      (R09.0) Asphyxia
01","1","0","1","0.0011363636363636","0"
"4,2      (O35.8) Maternal care for other 02       (suspected) fetal abnormality and","0","1","1","0.0011363636363636","0"
"4,2      (Q38.6) Other congenital malformations 03       of mouth","1","0","1","0.0011363636363636","0"
"4,2      (S29.7) Multiple injuries of thorax 04","0","1","1","0.0011363636363636","0"
"4,2      (O99.6) Diseases of the digestive 05       system complicating pregnancy,","0","1","1","0.0011363636363636","0"
"4,2      (S33.3) Dislocation of other and
06       unspecified parts of lumbar spine and","0","1","1","0.0011363636363636","0"
"4,2      (P24.8) Other neonatal aspiration 07       syndromes","0","1","1","0.0011363636363636","0"
"4,2      (Q25.5) Atresia of pulmonary artery 08","1","0","1","0.0011363636363636","0"
"4,2      (R87.1) Abnormal findings in specimens 09       from female genital organs, abnormal","0","1","1","0.0011363636363636","0"
"4,2      (O87.8) Other venous complications in
10       the puerperium","0","1","1","0.0011363636363636","0"
"4,2      (O05.8) Other abortion, complete or
11       unspecified, with other and unspecified","0","1","1","0.0011363636363636","0"
"4,2      (O33.3) Maternal care for disproportion
12       due to outlet contraction of pelvis","0","1","1","0.0011363636363636","0"
"4,2      (S32.5) Fracture of pubis 13","0","1","1","0.0011363636363636","0"
"4,2      (S09.1) Injury of muscle and tendon of
14       head","1","0","1","0.0011363636363636","0"
"4,2      (O15.2) Eclampsia in the puerperium 15","0","1","1","0.0011363636363636","0"
"4,2      (N97.8) Female infertility of other origin 16","0","1","1","0.0011363636363636","0"
"4,2      (O92.5) Suppressed lactation 17","0","1","1","0.0011363636363636","0"
"4,2      (P00.0) Fetus and newborn affected by
18       maternal hypertensive disorders","1","0","1","0.0011363636363636","0"
"4,2      (P50.9) Fetal blood loss, unspecified 19","1","0","1","0.0011363636363636","0"
"4,2      (O07.9) Other and unspecified failed
20       attempted abortion, without complication","0","1","1","0.0011363636363636","0"
"4,2      (N95.2) Postmenopausal atrophic
21       vaginitis","1","0","1","0.0011363636363636","0"
"4,2      (P00.6) Fetus and newborn affected by
22       surgical procedure on mother","0","1","1","0.0011363636363636","0"
"4,2      (S31.3) Open wound of scrotum and
23       testes","1","0","1","0.0011363636363636","0"
"4,2      (M84.0) Malunion of fracture 24","0","1","1","0.0011363636363636","0"
"4,2      (O66.2) Obstructed labour due to
25       unusually large fetus","0","1","1","0.0011363636363636","0"
"4,2      (M81.67) Localized osteoporosis
26       [lequesne], ankle and foot","0","1","1","0.0011363636363636","0"
"4,2      (O62.0) Primary inadequate contractions 27","0","1","1","0.0011363636363636","0"
"4,2      (M96.9) Postprocedural musculoskeletal
28       disorder, unspecified","1","0","1","0.0011363636363636","0"
"4,2      (M91.16) Juv osteochondrosis head of
29       femur [legg-calv? -perthes], lower leg","1","0","1","0.0011363636363636","0"
"4,2      (M79.68) Pain in limb, other site 30","1","0","1","0.0011363636363636","0"
"4,2      (M77.19) Lateral epicondylitis, site
31       unspecified","0","1","1","0.0011363636363636","0"
"4,2      (M81.89) Other osteoporosis, site
32       unspecified","0","1","1","0.0011363636363636","0"
"4,2      (P10.2) Intraventricular haemorrhage
33       due to birth injury","0","1","1","0.0011363636363636","0"
"4,2      (P12.8) Other birth injuries to scalp 34","0","1","1","0.0011363636363636","0"
"4,2      (O65.9) Obstructed labour due to
35       maternal pelvic abnormality, unspecified","0","1","1","0.0011363636363636","0"
"4,2      (M79.85) Other specified soft tissue
36       disorders, pelvic and thigh","0","1","1","0.0011363636363636","0"
"4,2      (P11.9) Birth injury to central nervous
37       system, unspecified","0","1","1","0.0011363636363636","0"
"4,2      (O72.0) Third-stage haemorrhage 38","0","1","1","0.0011363636363636","0"
"4,2      (M84.27) Delayed union of fracture,
39       ankle and foot","0","1","1","0.0011363636363636","0"
"4,2      (M41.55) Other secondary scoliosis,
40       thoracolumbar region","0","1","1","0.0011363636363636","0"
"4,2      (M84.99) Disorder of continuity of bone,
41       unspecified, site unspecified","0","1","1","0.0011363636363636","0"
"4,2      (M89.28) Other disorders of bone
42       development and growth, other site","0","1","1","0.0011363636363636","0"
"4,2      (P15.9) Birth injury, unspecified 43","0","1","1","0.0011363636363636","0"
"4,2      (M13.17) Monoarthritis, not elsewhere
44       classified, ankle and foot","1","0","1","0.0011363636363636","0"
"4,2      (M10.39) Gout due to impairment of
45       renal function, unspecified site","1","0","1","0.0011363636363636","0"
"4,2      (M41.99) Scoliosis, unspecified, site
46       unspecified","0","1","1","0.0011363636363636","0"
"4,2      (M46.22) Osteomyelitis of vertebra,
47       cervical region","0","1","1","0.0011363636363636","0"
"4,2      (M71.3) Other bursal cyst 48","1","0","1","0.0011363636363636","0"
"4,2      (M24.19) Other articular cartilage
49       disorders, unspecified site","1","0","1","0.0011363636363636","0"
"4,2      (M65.33) Trigger finger, forearm 50","0","1","1","0.0011363636363636","0"
"4,2      (M13.18) Monoarthritis, not elsewhere
51       classified, other sites","0","1","1","0.0011363636363636","0"
"4,2      (M71.01) Abscess of bursa, shoulder
52       region","0","1","1","0.0011363636363636","0"
"4,2      (M05.0) Felty`s syndrome 53","0","1","1","0.0011363636363636","0"
"4,2      (M65.43) Radial styloid tenosynovitis [de
54       quervain], forearm","0","1","1","0.0011363636363636","0"
"4,2      (M62.81) Other specified disorders of
55       muscle, shoulder","0","1","1","0.0011363636363636","0"
"4,2      (H51.1) Convergence insufficiency and
56       excess","1","0","1","0.0011363636363636","0"
"4,2      (L41.2) Lymphomatoid papulosis 57","0","1","1","0.0011363636363636","0"
"4,2      (E14.3) Unspecified diabetes mellitus
58       with ophthalmic complications","0","1","1","0.0011363636363636","0"
"4,2      (G46.4) Cerebellar stroke syndrome 59","1","0","1","0.0011363636363636","0"
"4,2      (A05.8) Other specified bacterial
60       foodborne intoxications","0","1","1","0.0011363636363636","0"
"4,2      (D17.6) Benign lipomatous neoplasm of
61       spermatic cord","1","0","1","0.0011363636363636","0"
"4,2      (D69.5) Secondary thrombocytopenia 62","0","1","1","0.0011363636363636","0"
"4,2      (D23.0) Other benign neoplasm of skin
63       of lip","0","1","1","0.0011363636363636","0"
"4,2      (C41.8) Malignant neoplasm overlapping
64       bone and articular cartilage sites","0","1","1","0.0011363636363636","0"
"4,2      (D72.1) Eosinophilia
65","0","1","1","0.0011363636363636","0"
"4,2      (C79.5) Secondary malignant neoplasm
66       of bone and bone marrow","0","1","1","0.0011363636363636","0"
"4,2      (D22.4) Melanocytic naevi of scalp and
67       neck","1","0","1","0.0011363636363636","0"
"4,2      (D23.6) Other benign neoplasm of skin
68       of upper limb, including shoulder","1","0","1","0.0011363636363636","0"
"4,2      (H05.5) Retained (old) foreign body
69       following penetrating wound of orbit","1","0","1","0.0011363636363636","0"
"4,2      (D28.9) Benign neoplasm of female
70       genital organ, unspecified","0","1","1","0.0011363636363636","0"
"4,2      (H47.5) Disorders of other visual
71       pathways","1","0","1","0.0011363636363636","0"
"4,2      (C81.3) Hodgkin`s disease with
72       lymphocytic depletion","1","0","1","0.0011363636363636","0"
"4,2      (B22.2) HIV disease resulting in wasting
73       syndrome","0","1","1","0.0011363636363636","0"
"4,2      (B23.2) HIV disease resulting in
74       haematological and immunological","1","0","1","0.0011363636363636","0"
"4,2      (E20.8) Other hypoparathyroidism 75","1","0","1","0.0011363636363636","0"
"4,2      (D20.1) Benign neoplasm of peritoneum 76","1","0","1","0.0011363636363636","0"
"4,2      (D17.4) Benign lipomatous neoplasm of
77       intrathoracic organs","0","1","1","0.0011363636363636","0"
"4,2      (D03.9) Melanoma in situ, unspecified 78","0","1","1","0.0011363636363636","0"
"4,2      (D26.1) Other benign neoplasm of
79       corpus uteri","0","1","1","0.0011363636363636","0"
"4,2      (A07.8) Other specified protozoal
80       intestinal diseases","0","1","1","0.0011363636363636","0"
"4,2      (Z33) Pregnant state, incidental 81","0","1","1","0.0011363636363636","0"
"4,2      (Z35.2) Supervision of pregnancy with
82       other poor reproductive or obstetric","0","1","1","0.0011363636363636","0"
"4,2      (W03) Other fall on same level due to
83       collision with, or pushing by, another","0","1","1","0.0011363636363636","0"
"4,2      (X29) Contact with unspecified
84       venomous animal or plant as an external","1","0","1","0.0011363636363636","0"
"4,2      (W56) Contact with marine animal 85","1","0","1","0.0011363636363636","0"
"4,2      (Z89.4) Acquired absence of foot and
86       ankle","0","1","1","0.0011363636363636","0"
"4,2      (X23) Contact with hornets, wasps and
87       bees as an external cause of morbidity","0","1","1","0.0011363636363636","0"
"4,2      (V99) Unspecified transport accident 88","1","0","1","0.0011363636363636","0"
"4,2      (X94) Assault by rifle, shotgun and larger
89       firearm discharge","1","0","1","0.0011363636363636","0"
"4,2      (T22.5) Corrosion of first degree of
90       shoulder and upper limb, except wrist","0","1","1","0.0011363636363636","0"
"4,2      (V79.0) Driver injured in collision with
91       other and unspecified motor vehicles in","0","1","1","0.0011363636363636","0"
"4,2      (W99) Exposure to other and
92       unspecified man-made environmental","0","1","1","0.0011363636363636","0"
"4,2      (S56.4) Injury of extensor muscle and
93       tendon of other finger(s) at forearm level","1","0","1","0.0011363636363636","0"
"4,2      (V22.5) Motorcycle rider injured in
94       collision with two- or three-wheeled","1","0","1","0.0011363636363636","0"
"4,2      (W29) Contact with other powered hand
95       tools and household machinery causing","0","1","1","0.0011363636363636","0"
"4,2      (T63.8) Toxic effect of contact with other
96       venomous animals","1","0","1","0.0011363636363636","0"
"4,2      (S83.7) Injury to multiple structures of
97       knee","0","1","1","0.0011363636363636","0"
"4,2      (T25.6) Corrosion of second degree of
98       ankle and foot","1","0","1","0.0011363636363636","0"
"4,2      (T51.9) Toxic effect of alcohol,
99       unspecified","1","0","1","0.0011363636363636","0"
"4,3      (Q43.9) Congenital malformation of 00       intestine, unspecified","1","0","1","0.0011363636363636","0"
"4,3      (S96.7) Injury of multiple muscles and 01       tendons at ankle and foot level","1","0","1","0.0011363636363636","0"
"4,3      (S49.8) Other specified injuries of 02       shoulder and upper arm","0","1","1","0.0011363636363636","0"
"4,3      (T26.6) Corrosion of cornea and 03       conjunctival sac","0","1","1","0.0011363636363636","0"
"4,3      (T35.2) Unspecified frostbite of head and 04       neck","0","1","1","0.0011363636363636","0"
"4,3      (T35.5) Unspecified frostbite of lower 05       limb","0","1","1","0.0011363636363636","0"
